Ward_No,WardName,zone_name,year,flood_count,max_rainfall_3day_mm,avg_monsoon_rainfall_mm,drain_density_km_per_km2,depression_area_fraction,mean_slope_percent,impervious_surface_fraction,drain_condition_score,drain_capacity_proxy,mean_elevation_m,area_km2,yamuna_backflow_risk,water_body_fraction,month_sin,month_cos
1,NARELA,Narela,2015,0,38.9,0,2.72,0.144,1.52,0.52,2,35.6,197.6,26.19,0.2,0.106,0.5,0.866025404
1,NARELA,Narela,2015,0,34.1,0,2.72,0.144,1.52,0.52,2,35.6,197.6,26.19,0.2,0.106,0.866025404,0.5
1,NARELA,Narela,2015,0,12.4,0,2.72,0.144,1.52,0.52,2,35.6,197.6,26.19,0.2,0.106,1,6.12E-17
1,NARELA,Narela,2015,0,11.4,0,2.72,0.144,1.52,0.52,2,35.6,197.6,26.19,0.2,0.106,0.866025404,-0.5
1,NARELA,Narela,2015,0,11.4,0,2.72,0.144,1.52,0.52,2,35.6,197.6,26.19,0.2,0.106,0.5,-0.866025404
1,NARELA,Narela,2015,0,101.7,122.9,2.72,0.144,1.52,0.52,2,35.6,197.6,26.19,0.2,0.106,1.22E-16,-1
1,NARELA,Narela,2015,1,139.2,122.9,2.72,0.144,1.52,0.52,2,35.6,197.6,26.19,0.2,0.106,-0.5,-0.866025404
1,NARELA,Narela,2015,1,123.4,122.9,2.72,0.144,1.52,0.52,2,35.6,197.6,26.19,0.2,0.106,-0.866025404,-0.5
1,NARELA,Narela,2015,0,99.5,122.9,2.72,0.144,1.52,0.52,2,35.6,197.6,26.19,0.2,0.106,-1,-1.84E-16
1,NARELA,Narela,2015,0,26.4,0,2.72,0.144,1.52,0.52,2,35.6,197.6,26.19,0.2,0.106,-0.866025404,0.5
1,NARELA,Narela,2015,0,9.9,0,2.72,0.144,1.52,0.52,2,35.6,197.6,26.19,0.2,0.106,-0.5,0.866025404
1,NARELA,Narela,2015,0,15.2,0,2.72,0.144,1.52,0.52,2,35.6,197.6,26.19,0.2,0.106,-2.45E-16,1
1,NARELA,Narela,2016,0,21,0,2.72,0.144,1.52,0.52,2,35.6,197.6,26.19,0.2,0.106,0.5,0.866025404
1,NARELA,Narela,2016,0,32.5,0,2.72,0.144,1.52,0.52,2,35.6,197.6,26.19,0.2,0.106,0.866025404,0.5
1,NARELA,Narela,2016,0,12,0,2.72,0.144,1.52,0.52,2,35.6,197.6,26.19,0.2,0.106,1,6.12E-17
1,NARELA,Narela,2016,0,23,0,2.72,0.144,1.52,0.52,2,35.6,197.6,26.19,0.2,0.106,0.866025404,-0.5
1,NARELA,Narela,2016,0,25.7,0,2.72,0.144,1.52,0.52,2,35.6,197.6,26.19,0.2,0.106,0.5,-0.866025404
1,NARELA,Narela,2016,0,57.9,171.3,2.72,0.144,1.52,0.52,2,35.6,197.6,26.19,0.2,0.106,1.22E-16,-1
1,NARELA,Narela,2016,1,153.3,171.3,2.72,0.144,1.52,0.52,2,35.6,197.6,26.19,0.2,0.106,-0.5,-0.866025404
1,NARELA,Narela,2016,0,79,171.3,2.72,0.144,1.52,0.52,2,35.6,197.6,26.19,0.2,0.106,-0.866025404,-0.5
1,NARELA,Narela,2016,0,61.1,171.3,2.72,0.144,1.52,0.52,2,35.6,197.6,26.19,0.2,0.106,-1,-1.84E-16
1,NARELA,Narela,2016,0,38.2,0,2.72,0.144,1.52,0.52,2,35.6,197.6,26.19,0.2,0.106,-0.866025404,0.5
1,NARELA,Narela,2016,0,38.8,0,2.72,0.144,1.52,0.52,2,35.6,197.6,26.19,0.2,0.106,-0.5,0.866025404
1,NARELA,Narela,2016,0,33.3,0,2.72,0.144,1.52,0.52,2,35.6,197.6,26.19,0.2,0.106,-2.45E-16,1
1,NARELA,Narela,2017,0,8.4,0,2.72,0.144,1.52,0.52,2,35.6,197.6,26.19,0.2,0.106,0.5,0.866025404
1,NARELA,Narela,2017,0,28.9,0,2.72,0.144,1.52,0.52,2,35.6,197.6,26.19,0.2,0.106,0.866025404,0.5
1,NARELA,Narela,2017,0,20.4,0,2.72,0.144,1.52,0.52,2,35.6,197.6,26.19,0.2,0.106,1,6.12E-17
1,NARELA,Narela,2017,0,9.3,0,2.72,0.144,1.52,0.52,2,35.6,197.6,26.19,0.2,0.106,0.866025404,-0.5
1,NARELA,Narela,2017,0,22.3,0,2.72,0.144,1.52,0.52,2,35.6,197.6,26.19,0.2,0.106,0.5,-0.866025404
1,NARELA,Narela,2017,0,55.8,162.6,2.72,0.144,1.52,0.52,2,35.6,197.6,26.19,0.2,0.106,1.22E-16,-1
1,NARELA,Narela,2017,1,204.6,162.6,2.72,0.144,1.52,0.52,2,35.6,197.6,26.19,0.2,0.106,-0.5,-0.866025404
1,NARELA,Narela,2017,0,94,162.6,2.72,0.144,1.52,0.52,2,35.6,197.6,26.19,0.2,0.106,-0.866025404,-0.5
1,NARELA,Narela,2017,1,162.6,162.6,2.72,0.144,1.52,0.52,2,35.6,197.6,26.19,0.2,0.106,-1,-1.84E-16
1,NARELA,Narela,2017,0,15.9,0,2.72,0.144,1.52,0.52,2,35.6,197.6,26.19,0.2,0.106,-0.866025404,0.5
1,NARELA,Narela,2017,0,23.2,0,2.72,0.144,1.52,0.52,2,35.6,197.6,26.19,0.2,0.106,-0.5,0.866025404
1,NARELA,Narela,2017,0,24.1,0,2.72,0.144,1.52,0.52,2,35.6,197.6,26.19,0.2,0.106,-2.45E-16,1
1,NARELA,Narela,2018,0,38.9,0,2.72,0.144,1.52,0.52,2,35.6,197.6,26.19,0.2,0.106,0.5,0.866025404
1,NARELA,Narela,2018,0,32.1,0,2.72,0.144,1.52,0.52,2,35.6,197.6,26.19,0.2,0.106,0.866025404,0.5
1,NARELA,Narela,2018,0,37.9,0,2.72,0.144,1.52,0.52,2,35.6,197.6,26.19,0.2,0.106,1,6.12E-17
1,NARELA,Narela,2018,0,36.3,0,2.72,0.144,1.52,0.52,2,35.6,197.6,26.19,0.2,0.106,0.866025404,-0.5
1,NARELA,Narela,2018,0,25.9,0,2.72,0.144,1.52,0.52,2,35.6,197.6,26.19,0.2,0.106,0.5,-0.866025404
1,NARELA,Narela,2018,1,206.7,145.9,2.72,0.144,1.52,0.52,2,35.6,197.6,26.19,0.2,0.106,1.22E-16,-1
1,NARELA,Narela,2018,0,65,145.9,2.72,0.144,1.52,0.52,2,35.6,197.6,26.19,0.2,0.106,-0.5,-0.866025404
1,NARELA,Narela,2018,0,83.3,145.9,2.72,0.144,1.52,0.52,2,35.6,197.6,26.19,0.2,0.106,-0.866025404,-0.5
1,NARELA,Narela,2018,0,57.7,145.9,2.72,0.144,1.52,0.52,2,35.6,197.6,26.19,0.2,0.106,-1,-1.84E-16
1,NARELA,Narela,2018,0,16.4,0,2.72,0.144,1.52,0.52,2,35.6,197.6,26.19,0.2,0.106,-0.866025404,0.5
1,NARELA,Narela,2018,0,18.6,0,2.72,0.144,1.52,0.52,2,35.6,197.6,26.19,0.2,0.106,-0.5,0.866025404
1,NARELA,Narela,2018,0,14.5,0,2.72,0.144,1.52,0.52,2,35.6,197.6,26.19,0.2,0.106,-2.45E-16,1
1,NARELA,Narela,2019,0,17.5,0,2.72,0.144,1.52,0.52,2,35.6,197.6,26.19,0.2,0.106,0.5,0.866025404
1,NARELA,Narela,2019,0,14.8,0,2.72,0.144,1.52,0.52,2,35.6,197.6,26.19,0.2,0.106,0.866025404,0.5
1,NARELA,Narela,2019,0,24,0,2.72,0.144,1.52,0.52,2,35.6,197.6,26.19,0.2,0.106,1,6.12E-17
1,NARELA,Narela,2019,0,9.9,0,2.72,0.144,1.52,0.52,2,35.6,197.6,26.19,0.2,0.106,0.866025404,-0.5
1,NARELA,Narela,2019,0,33.1,0,2.72,0.144,1.52,0.52,2,35.6,197.6,26.19,0.2,0.106,0.5,-0.866025404
1,NARELA,Narela,2019,0,62.7,236,2.72,0.144,1.52,0.52,2,35.6,197.6,26.19,0.2,0.106,1.22E-16,-1
1,NARELA,Narela,2019,2,217.8,236,2.72,0.144,1.52,0.52,2,35.6,197.6,26.19,0.2,0.106,-0.5,-0.866025404
1,NARELA,Narela,2019,1,181.3,236,2.72,0.144,1.52,0.52,2,35.6,197.6,26.19,0.2,0.106,-0.866025404,-0.5
1,NARELA,Narela,2019,0,83.8,236,2.72,0.144,1.52,0.52,2,35.6,197.6,26.19,0.2,0.106,-1,-1.84E-16
