Ward_No,WardName,zone_name,year,month,max_rainfall_3day_mm,avg_monsoon_rainfall_mm,drain_density_km_per_km2,depression_area_fraction,mean_slope_percent,impervious_surface_fraction,drain_condition_score,drain_capacity_proxy,mean_elevation_m,area_km2,yamuna_backflow_risk,water_body_fraction
1,NARELA,Narela,2026,1,10.1,0.0,2.72,0.144,1.52,0.52,2,35.6,197.6,26.19,0.2,0.106
1,NARELA,Narela,2026,2,13.8,0.0,2.72,0.144,1.52,0.52,2,35.6,197.6,26.19,0.2,0.106
1,NARELA,Narela,2026,3,22.4,0.0,2.72,0.144,1.52,0.52,2,35.6,197.6,26.19,0.2,0.106
1,NARELA,Narela,2026,4,15.5,0.0,2.72,0.144,1.52,0.52,2,35.6,197.6,26.19,0.2,0.106
1,NARELA,Narela,2026,5,15.0,0.0,2.72,0.144,1.52,0.52,2,35.6,197.6,26.19,0.2,0.106
1,NARELA,Narela,2026,6,6.3,0.0,2.72,0.144,1.52,0.52,2,35.6,197.6,26.19,0.2,0.106
1,NARELA,Narela,2026,7,153.6,254.7,2.72,0.144,1.52,0.52,2,35.6,197.6,26.19,0.2,0.106
1,NARELA,Narela,2026,8,135.5,254.7,2.72,0.144,1.52,0.52,2,35.6,197.6,26.19,0.2,0.106
1,NARELA,Narela,2026,9,58.8,254.7,2.72,0.144,1.52,0.52,2,35.6,197.6,26.19,0.2,0.106
1,NARELA,Narela,2026,10,97.4,254.7,2.72,0.144,1.52,0.52,2,35.6,197.6,26.19,0.2,0.106
1,NARELA,Narela,2026,11,36.8,0.0,2.72,0.144,1.52,0.52,2,35.6,197.6,26.19,0.2,0.106
1,NARELA,Narela,2026,12,13.4,0.0,2.72,0.144,1.52,0.52,2,35.6,197.6,26.19,0.2,0.106
2,BANKNER,Narela,2026,1,9.6,0.0,2.95,0.148,0.64,0.59,3,77.0,205.9,24.39,0.0,0.148
2,BANKNER,Narela,2026,2,23.8,0.0,2.95,0.148,0.64,0.59,3,77.0,205.9,24.39,0.0,0.148
2,BANKNER,Narela,2026,3,16.4,0.0,2.95,0.148,0.64,0.59,3,77.0,205.9,24.39,0.0,0.148
2,BANKNER,Narela,2026,4,34.0,0.0,2.95,0.148,0.64,0.59,3,77.0,205.9,24.39,0.0,0.148
2,BANKNER,Narela,2026,5,14.5,0.0,2.95,0.148,0.64,0.59,3,77.0,205.9,24.39,0.0,0.148
2,BANKNER,Narela,2026,6,38.8,0.0,2.95,0.148,0.64,0.59,3,77.0,205.9,24.39,0.0,0.148
2,BANKNER,Narela,2026,7,127.7,162.5,2.95,0.148,0.64,0.59,3,77.0,205.9,24.39,0.0,0.148
2,BANKNER,Narela,2026,8,193.1,162.5,2.95,0.148,0.64,0.59,3,77.0,205.9,24.39,0.0,0.148
2,BANKNER,Narela,2026,9,83.0,162.5,2.95,0.148,0.64,0.59,3,77.0,205.9,24.39,0.0,0.148
2,BANKNER,Narela,2026,10,119.9,162.5,2.95,0.148,0.64,0.59,3,77.0,205.9,24.39,0.0,0.148
2,BANKNER,Narela,2026,11,29.5,0.0,2.95,0.148,0.64,0.59,3,77.0,205.9,24.39,0.0,0.148
2,BANKNER,Narela,2026,12,9.8,0.0,2.95,0.148,0.64,0.59,3,77.0,205.9,24.39,0.0,0.148
3,HOLAMBI KALAN,Narela,2026,1,21.4,0.0,2.08,0.113,0.27,0.88,3,58.5,198.5,2.22,0.8,0.125
3,HOLAMBI KALAN,Narela,2026,2,39.5,0.0,2.08,0.113,0.27,0.88,3,58.5,198.5,2.22,0.8,0.125
3,HOLAMBI KALAN,Narela,2026,3,31.4,0.0,2.08,0.113,0.27,0.88,3,58.5,198.5,2.22,0.8,0.125
3,HOLAMBI KALAN,Narela,2026,4,18.2,0.0,2.08,0.113,0.27,0.88,3,58.5,198.5,2.22,0.8,0.125
3,HOLAMBI KALAN,Narela,2026,5,7.9,0.0,2.08,0.113,0.27,0.88,3,58.5,198.5,2.22,0.8,0.125
3,HOLAMBI KALAN,Narela,2026,6,32.2,0.0,2.08,0.113,0.27,0.88,3,58.5,198.5,2.22,0.8,0.125
3,HOLAMBI KALAN,Narela,2026,7,144.9,252.6,2.08,0.113,0.27,0.88,3,58.5,198.5,2.22,0.8,0.125
3,HOLAMBI KALAN,Narela,2026,8,122.1,252.6,2.08,0.113,0.27,0.88,3,58.5,198.5,2.22,0.8,0.125
3,HOLAMBI KALAN,Narela,2026,9,204.1,252.6,2.08,0.113,0.27,0.88,3,58.5,198.5,2.22,0.8,0.125
3,HOLAMBI KALAN,Narela,2026,10,68.9,252.6,2.08,0.113,0.27,0.88,3,58.5,198.5,2.22,0.8,0.125
3,HOLAMBI KALAN,Narela,2026,11,22.2,0.0,2.08,0.113,0.27,0.88,3,58.5,198.5,2.22,0.8,0.125
3,HOLAMBI KALAN,Narela,2026,12,5.4,0.0,2.08,0.113,0.27,0.88,3,58.5,198.5,2.22,0.8,0.125
4,ALIPUR,Narela,2026,1,16.3,0.0,2.88,0.035,0.41,0.33,1,34.0,205.7,12.91,0.0,0.012
4,ALIPUR,Narela,2026,2,12.8,0.0,2.88,0.035,0.41,0.33,1,34.0,205.7,12.91,0.0,0.012
4,ALIPUR,Narela,2026,3,33.8,0.0,2.88,0.035,0.41,0.33,1,34.0,205.7,12.91,0.0,0.012
4,ALIPUR,Narela,2026,4,17.1,0.0,2.88,0.035,0.41,0.33,1,34.0,205.7,12.91,0.0,0.012
4,ALIPUR,Narela,2026,5,17.2,0.0,2.88,0.035,0.41,0.33,1,34.0,205.7,12.91,0.0,0.012
4,ALIPUR,Narela,2026,6,6.1,0.0,2.88,0.035,0.41,0.33,1,34.0,205.7,12.91,0.0,0.012
4,ALIPUR,Narela,2026,7,143.3,204.3,2.88,0.035,0.41,0.33,1,34.0,205.7,12.91,0.0,0.012
4,ALIPUR,Narela,2026,8,140.9,204.3,2.88,0.035,0.41,0.33,1,34.0,205.7,12.91,0.0,0.012
4,ALIPUR,Narela,2026,9,110.5,204.3,2.88,0.035,0.41,0.33,1,34.0,205.7,12.91,0.0,0.012
4,ALIPUR,Narela,2026,10,202.0,204.3,2.88,0.035,0.41,0.33,1,34.0,205.7,12.91,0.0,0.012
4,ALIPUR,Narela,2026,11,9.5,0.0,2.88,0.035,0.41,0.33,1,34.0,205.7,12.91,0.0,0.012
4,ALIPUR,Narela,2026,12,16.6,0.0,2.88,0.035,0.41,0.33,1,34.0,205.7,12.91,0.0,0.012
5,BAKHTAWARPUR,Narela,2026,1,13.7,0.0,2.44,0.083,1.44,0.36,3,103.9,197.7,9.39,0.5,0.112
5,BAKHTAWARPUR,Narela,2026,2,37.9,0.0,2.44,0.083,1.44,0.36,3,103.9,197.7,9.39,0.5,0.112
5,BAKHTAWARPUR,Narela,2026,3,27.0,0.0,2.44,0.083,1.44,0.36,3,103.9,197.7,9.39,0.5,0.112
5,BAKHTAWARPUR,Narela,2026,4,16.7,0.0,2.44,0.083,1.44,0.36,3,103.9,197.7,9.39,0.5,0.112
5,BAKHTAWARPUR,Narela,2026,5,9.9,0.0,2.44,0.083,1.44,0.36,3,103.9,197.7,9.39,0.5,0.112
5,BAKHTAWARPUR,Narela,2026,6,32.8,0.0,2.44,0.083,1.44,0.36,3,103.9,197.7,9.39,0.5,0.112
5,BAKHTAWARPUR,Narela,2026,7,155.4,136.4,2.44,0.083,1.44,0.36,3,103.9,197.7,9.39,0.5,0.112
5,BAKHTAWARPUR,Narela,2026,8,140.7,136.4,2.44,0.083,1.44,0.36,3,103.9,197.7,9.39,0.5,0.112
5,BAKHTAWARPUR,Narela,2026,9,202.0,136.4,2.44,0.083,1.44,0.36,3,103.9,197.7,9.39,0.5,0.112
5,BAKHTAWARPUR,Narela,2026,10,184.1,136.4,2.44,0.083,1.44,0.36,3,103.9,197.7,9.39,0.5,0.112
5,BAKHTAWARPUR,Narela,2026,11,10.3,0.0,2.44,0.083,1.44,0.36,3,103.9,197.7,9.39,0.5,0.112
5,BAKHTAWARPUR,Narela,2026,12,15.9,0.0,2.44,0.083,1.44,0.36,3,103.9,197.7,9.39,0.5,0.112
6,BURARI,Civil Line,2026,1,17.7,0.0,3.24,0.024,1.23,0.75,3,121.9,199.6,16.79,0.0,0.069
6,BURARI,Civil Line,2026,2,27.5,0.0,3.24,0.024,1.23,0.75,3,121.9,199.6,16.79,0.0,0.069
6,BURARI,Civil Line,2026,3,29.6,0.0,3.24,0.024,1.23,0.75,3,121.9,199.6,16.79,0.0,0.069
6,BURARI,Civil Line,2026,4,36.9,0.0,3.24,0.024,1.23,0.75,3,121.9,199.6,16.79,0.0,0.069
6,BURARI,Civil Line,2026,5,26.9,0.0,3.24,0.024,1.23,0.75,3,121.9,199.6,16.79,0.0,0.069
6,BURARI,Civil Line,2026,6,16.8,0.0,3.24,0.024,1.23,0.75,3,121.9,199.6,16.79,0.0,0.069
6,BURARI,Civil Line,2026,7,190.3,242.7,3.24,0.024,1.23,0.75,3,121.9,199.6,16.79,0.0,0.069
6,BURARI,Civil Line,2026,8,111.7,242.7,3.24,0.024,1.23,0.75,3,121.9,199.6,16.79,0.0,0.069
6,BURARI,Civil Line,2026,9,55.8,242.7,3.24,0.024,1.23,0.75,3,121.9,199.6,16.79,0.0,0.069
6,BURARI,Civil Line,2026,10,191.2,242.7,3.24,0.024,1.23,0.75,3,121.9,199.6,16.79,0.0,0.069
6,BURARI,Civil Line,2026,11,17.1,0.0,3.24,0.024,1.23,0.75,3,121.9,199.6,16.79,0.0,0.069
6,BURARI,Civil Line,2026,12,32.1,0.0,3.24,0.024,1.23,0.75,3,121.9,199.6,16.79,0.0,0.069
7,KADIPUR,Civil Line,2026,1,8.9,0.0,3.3,0.049,1.95,0.82,1,45.1,216.9,26.99,0.5,0.064
7,KADIPUR,Civil Line,2026,2,31.9,0.0,3.3,0.049,1.95,0.82,1,45.1,216.9,26.99,0.5,0.064
7,KADIPUR,Civil Line,2026,3,19.1,0.0,3.3,0.049,1.95,0.82,1,45.1,216.9,26.99,0.5,0.064
7,KADIPUR,Civil Line,2026,4,21.8,0.0,3.3,0.049,1.95,0.82,1,45.1,216.9,26.99,0.5,0.064
